Day,Sample_ID,TEI_Day,particle_conc
1,2,2,89249062500.0
1,4,3,153741474666.66666
1,3,1,175595167166.66666
1,5,4,182057049833.33334
1,6,5,282458569250.0
5,8,3,158284440500.0
5,9,2,198566481166.66666
5,10,4,306075805166.6667
5,11,5,24149799e4
10,13,3,337823313e3
10,18,2,366183051833.3333
10,14,1,317599048333.3333
10,15,4,154870656916.66666
10,17,5,259032848166.66666
14,20,2,489899152416.6667
14,21,3,390243381333.3333
14,23,1,396896023333.3333
14,19,5,195367662500.0
14,24,4,235520981100.0
17,25,2,483909625083.3333
17,26,3,582858619e3
17,30,1,371309377900.0
17,29,4,206022733466.66666
20,35,2,211266012500.0
20,36,3,25746644e4
20,32,1,107914759833.33333
20,31,4,210775920500.0
20,34,5,244752749666.66666
