Day,Sample_ID,TEI_Day,Weight,Pups,Pup_left,Pup_right,placenta1,placenta_2,placenta_3,Resorp
1,1,6,19.6,0,0,0,,,,
1,2,2,18.6,0,0,0,,,,
1,3,1,19.3,0,0,0,,,,
1,4,3,20.5,0,0,0,,,,
1,5,4,18.74,0,0,0,,,,
1,6,5,18.3,0,0,0,,,,
5,7,6,20.83,10,4,6,,,,
5,8,3,19.88,10,5,5,,,,
5,9,2,24.41,9,4,5,,,,0
5,10,4,20.01,6,6,0,,,,
5,11,5,23.06,8,2,6,,,,0
5,12,1,22.1,7,5,2,,,,0
10,13,3,21.84,9,6,3,0.03,0.03,0.02,1
10,14,1,22.59,9,5,4,0.04,0.03,0.03,0
10,15,4,21.66,9,5,4,0.02,0.03,0.04,0
10,16,6,22.46,8,4,4,0.02,0.02,0.02,0
10,17,5,22.2,9,1,8,0.03,0.03,,0
10,18,2,22.9,9,2,7,0.04,0.04,,2
14,19,5,23.21,3,0,3,0.1,0.08,0.11,
14,20,2,26.71,7,3,4,0.08,0.08,0.1,0
14,21,3,22.06,1,0,1,0.15,,,1
14,22,6,29.15,9,3,6,0.1,0.08,0.07,0
14,23,1,27.67,8,4,4,0.08,0.1,0.09,0
14,24,4,27.53,7,3,4,0.07,0.08,0.05,0
17,25,2,33,7,4,3,0.1,0.08,0.07,1
17,26,3,35.25,8,4,4,0.08,0.08,0.09,1
17,27,6,30.23,8,6,2,0.08,0.08,0.07,
17,28,5,33.9,10,2,8,0.08,0.07,0.07,
17,29,4,29.94,7,1,6,0.06,0.07,0.07,
17,30,1,32.88,8,4,4,0.1,0.08,0.07,1
20,31,4,21.73,6,,,,,,
20,32,1,22.79,6,,,,,,
20,33,6,22.95,7,,,,,,
20,34,5,25.34,8,,,,,,
20,35,2,23.63,8,,,,,,
20,36,3,22.11,7,,,,,,
